dataset_name,config,llm_model,has_description,classifier,task_type,status,number_iteration,pipeline_gen_time,execution_time,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
KDDCup99,CatDB,gpt-4,yes,automatic,multiclass,True,1,31.0370635986328,301.276265382767,0.999974627438937,-1,0.0002982659903705,-1,-1,0.999921743686757,-1,0.0004752511014447,-1,-1
Road-Safety,CatDB,gpt-4,no,automatic,multiclass,True,4,31.6381933689117,108.107048988342,0.725956660243049,-1,0.579626595761095,-1,-1,0.722766189790131,-1,0.584363204813713,-1,-1
Road-Safety,CatDB,gpt-4,yes,automatic,multiclass,True,1,46.5978336334229,76.0269000530243,0.656093915916152,-1,0.669885335811027,-1,-1,0.660576473071311,-1,0.674632439888017,-1,-1
Drug-Directory,CatDB,gpt-4,no,automatic,multiclass,True,4,25.896989107132,17.0993683338165,0.985252525252525,-1,-1,-1,-1,0.983224733120754,-1,-1,-1,-1
Drug-Directory,CatDB,gpt-4,yes,automatic,multiclass,True,3,27.3862755298614,22.8054296970367,0.983208556149732,-1,0.134456957798914,-1,-1,0.981117426868155,-1,0.140730307359312,-1,-1
Okcupid-Stem,CatDB,gpt-4,no,automatic,multiclass,True,1,20.2307896614075,8.91118860244751,0.7376800180018,-1,0.567269108773236,-1,-1,0.727833563037343,-1,0.610591019683625,-1,-1
Okcupid-Stem,CatDB,gpt-4,yes,automatic,multiclass,True,9,24.9948298931122,11.0908887386322,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Walking-Activity,CatDB,gpt-4,no,automatic,multiclass,True,1,16.3236873149872,18.4090948104858,0.621025140626794,-1,1.18033079135673,-1,-1,0.601361607142857,-1,1.22381320836829,-1,-1
Walking-Activity,CatDB,gpt-4,yes,automatic,multiclass,True,3,16.1212773323059,16.1586790084839,0.621991351930509,-1,13.6248126891055,-1,-1,0.60140625,-1,14.3667749680684,-1,-1
Aloi,CatDB,gpt-4,no,automatic,regression,True,3,56.1702637672424,1005.18400382996,0,-1,-1,0.465576810393926,211.42351317945,-1,-1,-1,0.406296862046676,221.463174654821
Aloi,CatDB,gpt-4,yes,automatic,regression,True,3,55.3627915382385,7.43865966796875E-05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
MD-MIX-Mini,CatDB,gpt-4,no,automatic,regression,True,3,51.6718282699585,7.74860382080078E-05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
MD-MIX-Mini,CatDB,gpt-4,yes,automatic,regression,True,3,43.7985093593597,5.22136688232422E-05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dionis,CatDB,gpt-4,no,automatic,regression,True,3,34.3493797779083,169.752099275589,0,-1,-1,0.39203927062502,80.1435765811569,-1,-1,-1,0.303266723090672,85.9306903007574
Dionis,CatDB,gpt-4,yes,automatic,regression,True,2,31.7501130104065,7.29560852050781E-05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Meta-Album-BRD,CatDB,gpt-4,no,automatic,regression,True,3,30.8100950717926,7.29560852050781E-05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Meta-Album-BRD,CatDB,gpt-4,yes,automatic,regression,True,1,30.2611062526703,34.4762532711029,0,-1,-1,-0.0376618158011423,93.2693854515813,-1,-1,-1,-0.967817820639861,128.111950559117
Balance-Scale,CatDB,gpt-4,no,automatic,multiclass,True,1,30.4706842899323,0.675470590591431,1,-1,0.100201457846541,-1,-1,0.840764331210191,-1,0.628686216582089,-1,-1
Balance-Scale,CatDB,gpt-4,yes,automatic,multiclass,True,1,21.7449078559875,0.604770183563232,1,-1,0.100400732690411,-1,-1,0.847133757961784,-1,0.435434690588741,-1,-1
Breast-w,CatDB,gpt-4,no,automatic,binary,True,1,33.284773349762,0.650285482406616,1,1,-1,-1,-1,0.971428571428571,0.961832061068702,-1,-1,-1
Breast-w,CatDB,gpt-4,yes,automatic,binary,True,1,31.5250427722931,0.597245693206787,1,1,-1,-1,-1,0.971428571428571,0.961240310077519,-1,-1,-1
CMC,CatDB,gpt-4,no,automatic,multiclass,True,1,29.9463725090027,0.906603574752808,0.959239130434783,-1,0.269195482047318,-1,-1,0.490514905149052,-1,1.2117168661841,-1,-1
CMC,CatDB,gpt-4,yes,automatic,multiclass,True,1,29.2841248512268,0.925138235092163,0.959239130434783,-1,0.270513070758706,-1,-1,0.493224932249323,-1,1.36282582723711,-1,-1
Credit-g,CatDB,gpt-4,no,automatic,binary,True,1,0,0.8250453472137451,1.0,1.0,-1,-1,-1,0.78,0.5299145299145299,-1,-1,-1
Credit-g,CatDB,gpt-4,yes,automatic,binary,True,1,37.3237674236298,0.767369508743286,1,1,-1,-1,-1,0.776,0.533333333333333,-1,-1,-1
Diabetes,CatDB,gpt-4,no,automatic,binary,True,1,29.9718451499939,0.717507362365723,1,1,-1,-1,-1,0.791666666666667,0.6875,-1,-1,-1
Diabetes,CatDB,gpt-4,yes,automatic,binary,True,1,27.633748292923,0.685658931732178,1,1,-1,-1,-1,0.770833333333333,0.645161290322581,-1,-1,-1
Tic-Tac-Toe,CatDB,gpt-4,no,automatic,binary,True,1,33.1882364749908,0.65181827545166,1,1,-1,-1,-1,0.958333333333333,0.968152866242038,-1,-1,-1
Tic-Tac-Toe,CatDB,gpt-4,yes,automatic,binary,True,1,0,0.7696266174316406,1.0,1.0,-1,-1,-1,0.9916666666666667,0.9934640522875817,-1,-1,-1
Eucalyptus,CatDB,gpt-4,no,automatic,multiclass,True,3,34.8870439529419,7.41481781005859E-05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Eucalyptus,CatDB,gpt-4,yes,automatic,multiclass,True,3,46.0061056613922,6.89029693603516E-05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
PC1,CatDB,gpt-4,no,automatic,binary,True,1,30.7390139102936,0.757639169692993,0.995186522262334,0.964912280701754,-1,-1,-1,0.938848920863309,0.37037037037037,-1,-1,-1
PC1,CatDB,gpt-4,yes,automatic,binary,True,1,0,0.8784780502319336,0.9951865222623345,0.9649122807017544,-1,-1,-1,0.9316546762589928,0.24,-1,-1,-1
Airlines,CatDB,gpt-4,no,automatic,binary,True,1,27.3157179355621,1.02357244491577,1,1,-1,-1,-1,0.616,0.483870967741936,-1,-1,-1
Airlines,CatDB,gpt-4,yes,automatic,binary,True,1,28.3331336975098,0.853176593780518,1,1,-1,-1,-1,0.632,0.502702702702703,-1,-1,-1
Jungle-Chess,CatDB,gpt-4,no,automatic,multiclass,True,3,32.286425113678,5.26905059814453E-05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jungle-Chess,CatDB,gpt-4,yes,automatic,multiclass,True,3,25.6665179729462,6.53266906738281E-05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Balance-Scale,CAAFE,gpt-4,yes,TabPFN,multiclass,False,10,-1,134.060082912445,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Balance-Scale,CAAFE,gpt-4,no,TabPFN,multiclass,False,10,-1,152.002305746079,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Breast-w,CAAFE,gpt-4,yes,TabPFN,binary,False,10,-1,211.471371650696,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Breast-w,CAAFE,gpt-4,no,TabPFN,binary,False,10,-1,202.087618589401,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
CMC,CAAFE,gpt-4,yes,TabPFN,multiclass,False,10,-1,385.063090324402,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
CMC,CAAFE,gpt-4,no,TabPFN,multiclass,False,10,-1,394.370930671692,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Credit-g,CAAFE,gpt-4,yes,TabPFN,binary,True,10,-1,251.113595724106,0.936,0.890909090909091,-1,-1,-1,0.764,0.520325203252033,-1,-1,-1
Credit-g,CAAFE,gpt-4,no,TabPFN,binary,True,10,-1,272.527993917465,0.917333333333333,0.857798165137615,-1,-1,-1,0.76,0.5,-1,-1,-1
Tic-Tac-Toe,CAAFE,gpt-4,yes,TabPFN,binary,True,10,-1,225.868242502212,1,1,-1,-1,-1,1,1,-1,-1,-1
Tic-Tac-Toe,CAAFE,gpt-4,no,TabPFN,binary,True,10,-1,236.316976547241,1,1,-1,-1,-1,0.958333333333333,0.967948717948718,-1,-1,-1
Eucalyptus,CAAFE,gpt-4,yes,TabPFN,multiclass,False,10,-1,212.114327430725,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Eucalyptus,CAAFE,gpt-4,no,TabPFN,multiclass,False,10,-1,241.332467317581,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
PC1,CAAFE,gpt-4,yes,TabPFN,binary,False,10,-1,267.079354524612,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
PC1,CAAFE,gpt-4,no,TabPFN,binary,False,10,-1,286.894849777222,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Airlines,CAAFE,gpt-4,yes,TabPFN,binary,True,10,-1,440.91693854332,0.717333333333333,0.618018018018018,-1,-1,-1,0.622,0.396166134185303,-1,-1,-1
Airlines,CAAFE,gpt-4,no,TabPFN,binary,False,10,-1,501.351456403732,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jungle-Chess,CAAFE,gpt-4,yes,TabPFN,multiclass,False,10,-1,432.334597349167,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jungle-Chess,CAAFE,gpt-4,no,TabPFN,multiclass,False,10,-1,519.555634498596,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Balance-Scale,CAAFE,gpt-4,yes,RandomForest,multiclass,True,10,-1,99.86136317253111,1.0,-1.0,0.0072310853710059,-1,-1,1.0,-1.0,0.021222126185881,-1,-1
Balance-Scale,CAAFE,gpt-4,no,RandomForest,multiclass,True,10,-1,98.7782289981842,1.0,-1.0,0.0214001644671218,-1,-1,1.0,-1.0,0.0622619825552359,-1,-1
Breast-w,CAAFE,gpt-4,yes,RandomForest,binary,False,10,-1,166.92313599586487,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Breast-w,CAAFE,gpt-4,no,RandomForest,binary,False,10,-1,149.87664437294006,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
CMC,CAAFE,gpt-4,yes,RandomForest,multiclass,True,10,-1,156.39901065826416,0.9592391304347826,-1.0,0.2611314133763617,-1,-1,0.5094850948509485,-1.0,1.171208080279758,-1,-1
CMC,CAAFE,gpt-4,no,RandomForest,multiclass,False,10,-1,165.44570636749268,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Credit-g,CAAFE,gpt-4,yes,RandomForest,binary,False,10,-1,135.25687050819397,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Credit-g,CAAFE,gpt-4,no,RandomForest,binary,True,10,-1,160.14362740516663,1.0,1.0,-1.0,-1,-1,0.752,0.4833333333333333,-1.0,-1,-1
Diabetes,CAAFE,gpt-4,yes,RandomForest,binary,False,10,-1,144.66642117500305,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Diabetes,CAAFE,gpt-4,no,RandomForest,binary,True,10,-1,139.5567581653595,1.0,1.0,-1.0,-1,-1,0.8072916666666666,0.6991869918699187,-1.0,-1,-1
Tic-Tac-Toe,CAAFE,gpt-4,yes,RandomForest,binary,True,10,-1,170.99393463134766,1.0,1.0,-1.0,-1,-1,0.9208333333333332,0.940809968847352,-1.0,-1,-1
Tic-Tac-Toe,CAAFE,gpt-4,no,RandomForest,binary,True,10,-1,146.2403793334961,1.0,1.0,-1.0,-1,-1,1.0,1.0,-1.0,-1,-1
Eucalyptus,CAAFE,gpt-4,yes,RandomForest,multiclass,False,10,-1,152.0067536830902,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Eucalyptus,CAAFE,gpt-4,no,RandomForest,multiclass,False,10,-1,175.8240773677826,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
PC1,CAAFE,gpt-4,yes,RandomForest,binary,True,10,-1,141.1320240497589,0.9951865222623344,0.9649122807017544,-1.0,-1,-1,0.9388489208633094,0.3703703703703703,-1.0,-1,-1
PC1,CAAFE,gpt-4,no,RandomForest,binary,False,10,-1,162.94315576553345,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Airlines,CAAFE,gpt-4,yes,RandomForest,binary,True,10,-1,176.1472887992859,1.0,1.0,-1.0,-1,-1,0.636,0.4972375690607735,-1.0,-1,-1
Airlines,CAAFE,gpt-4,no,RandomForest,binary,True,10,-1,169.96878790855408,1.0,1.0,-1.0,-1,-1,0.63,0.5013477088948787,-1.0,-1,-1
Jungle-Chess,CAAFE,gpt-4,yes,RandomForest,multiclass,True,10,-1,180.326828956604,1.0,-1.0,0.1239952858421223,-1,-1,0.838,-1.0,0.4260336355360828,-1,-1
Jungle-Chess,CAAFE,gpt-4,no,RandomForest,multiclass,True,10,-1,193.73194360733032,1.0,-1.0,0.12154333017631562,-1,-1,0.85,-1.0,0.4134151962662431,-1,-1
