id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,balacc,logloss,models_ensemble_count,acc_final
shuttle,shuttle,RandomForest,74s,0,multiclass,-0.00115814,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T19:22:07,16.5,13.4,0.9,2000,2019515470,,0.999828,,0.97479,0.00115814,,99.9828
shuttle,shuttle,TPOT,74s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T19:24:46,154.9,,,,897211113,NoResultError: Interrupting thread MainThread [ident=140230172446720] after 148s timeout.,,,,,,0
APSFailure,APSFailure,AutoGluon,134s,0,binary,0.988106,auc,local,1.0.0,,2.1.7,2024-01-07T19:27:13,141.2,136.6,0.1,11,54020803,,0.993509,0.988106,0.872871,0.0204244,3,99.3509
APSFailure,APSFailure,H2OAutoML,134s,0,binary,0.98797,auc,local,3.44.0.3,,2.1.7,2024-01-07T19:29:53,154.2,137.6,0.3,32,715813712,,0.99307,0.98797,0.887834,0.0211926,,99.307
APSFailure,APSFailure,mljarsupervised,134s,0,binary,0.983667,auc,local,1.1.1,,2.1.7,2024-01-07T19:32:07,127.7,117.3,0.7,6,1120696669,,0.991535,0.983667,0.903405,0.0252464,,99.1535
APSFailure,APSFailure,constantpredictor,134s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T19:32:13,0.9,0.02,0.0002,1,2033646069,,0.981579,0.5,0.5,0.091835,,98.1579
APSFailure,APSFailure,RandomForest,134s,0,binary,0.988493,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T19:34:24,125.7,120.3,0.6,1290,384511118,,0.993202,0.988493,0.856361,0.0274697,,99.3202
APSFailure,APSFailure,TPOT,134s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T19:39:07,276.5,,,,1476845807,NoResultError: Interrupting thread MainThread [ident=140373626265600] after 268s timeout.,,,,,,0
numerai28.6,numerai28_6,AutoGluon,108s,0,binary,0.527943,auc,local,1.0.0,,2.1.7,2024-01-07T19:41:30,139.1,134.9,0.5,11,925883122,,0.518411,0.527943,0.516142,0.691825,5,51.8411
numerai28.6,numerai28_6,H2OAutoML,108s,0,binary,0.529534,auc,local,3.44.0.3,,2.1.7,2024-01-07T19:43:36,121.2,109.3,0.3,20,734438680,,0.50744,0.529534,0.499974,0.691647,,50.744
numerai28.6,numerai28_6,mljarsupervised,108s,0,binary,0.527041,auc,local,1.1.1,,2.1.7,2024-01-07T19:45:06,85.5,76.9,0.3,6,1763843427,,0.519172,0.527041,0.515547,0.691895,,51.9172
numerai28.6,numerai28_6,constantpredictor,108s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T19:45:11,0.4,0.002,0.0002,1,1879033660,,0.507475,0.5,0.5,0.693057,,50.7475
numerai28.6,numerai28_6,RandomForest,108s,0,binary,0.514975,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T19:46:58,102,97.2,1.4,1940,646609724,,0.509967,0.514975,0.509402,0.695634,,50.9967
numerai28.6,numerai28_6,TPOT,108s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T19:50:46,223.1,,,,2109023103,NoResultError: Interrupting thread MainThread [ident=139817233920000] after 216s timeout.,,,,,,0
helena,helena,AutoGluon,140s,0,multiclass,-2.60431,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T19:53:29,159,152.7,0.7,5,1372407309,,0.36326,,0.212589,2.60431,4,36.326
helena,helena,H2OAutoML,140s,0,multiclass,-5.1429,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T19:56:17,164.1,145.8,0.8,4,794983623,,0.280025,,0.112189,5.1429,,28.0025
helena,helena,mljarsupervised,140s,0,multiclass,,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T20:01:16,293.3,,,,971888220,NoResultError: Interrupting thread MainThread [ident=139955378962432] after 280s timeout.,,,,,,0
helena,helena,constantpredictor,140s,0,multiclass,-5.0326,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T20:01:23,3.5,0.003,0.0001,1,1333197849,,0.0604837,,0.01,5.0326,,6.04837
helena,helena,RandomForest,140s,0,multiclass,-3.03168,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T20:03:52,143.4,125.6,6,1380,1268493844,,0.367503,,0.194059,3.03168,,36.7503
helena,helena,TPOT,140s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T20:08:45,288,,,,1926407632,NoResultError: Interrupting thread MainThread [ident=140165800071168] after 280s timeout.,,,,,,0
vehicle,vehicle,AutoGluon,88s,0,multiclass,-0.360343,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T20:09:15,26,23.3,0.06,14,349222937,,0.799213,,0.800171,0.360343,3,79.9213
vehicle,vehicle,H2OAutoML,88s,0,multiclass,-0.378021,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T20:10:59,99.3,90.1,0.2,65,2138334540,,0.807087,,0.808065,0.378021,,80.7087
vehicle,vehicle,mljarsupervised,88s,0,multiclass,-0.466371,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T20:13:34,150.7,142.6,0.07,5,1186816375,,0.791339,,0.793445,0.466371,,79.1339
vehicle,vehicle,constantpredictor,88s,0,multiclass,-1.39811,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T20:13:38,0.03,0.0005,0.00009,1,626550550,,0.185039,,0.25,1.39811,,18.5039
vehicle,vehicle,RandomForest,88s,0,multiclass,-0.475835,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T20:13:53,9.9,7.5,0.7,2000,1186000984,,0.76378,,0.751826,0.475835,,76.378
vehicle,vehicle,TPOT,88s,0,multiclass,-0.401175,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T20:15:46,109.1,102.8,0.001,369,925121643,,0.826772,,0.825828,0.401175,,82.6772
connect-4,connect-4,AutoGluon,75s,0,multiclass,-0.376166,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T20:17:11,80.9,77.9,0.2,6,134364055,,0.854993,,0.678218,0.376166,2,85.4993
connect-4,connect-4,H2OAutoML,75s,0,multiclass,-0.385601,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T20:18:46,90.4,77.8,0.5,11,1784717081,,0.849319,,0.667332,0.385601,,84.9319
connect-4,connect-4,mljarsupervised,75s,0,multiclass,,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T20:21:31,160.5,,,,511254728,NoResultError: Interrupting thread MainThread [ident=139802317602816] after 150s timeout.,,,,,,0
connect-4,connect-4,constantpredictor,75s,0,multiclass,-0.845562,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T20:21:36,0.3,0.003,0.0001,1,1038767549,,0.65744,,0.333333,0.845562,,65.744
connect-4,connect-4,RandomForest,75s,0,multiclass,-0.509385,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T20:22:08,26.9,22.8,1.1,2000,2083405001,,0.814091,,0.589911,0.509385,,81.4091
connect-4,connect-4,TPOT,75s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T20:24:49,157,,,,652408236,NoResultError: Interrupting thread MainThread [ident=139964880965632] after 150s timeout.,,,,,,0
airlines,airlines,AutoGluon,169s,0,binary,0.727742,auc,local,1.0.0,,2.1.7,2024-01-07T20:27:55,181.9,170.1,2.5,8,27986592,,0.673077,0.727742,0.658004,0.601421,6,67.3077
airlines,airlines,H2OAutoML,169s,0,binary,0.727356,auc,local,3.44.0.3,,2.1.7,2024-01-07T20:31:08,187.8,170.7,1,15,981666681,,0.612205,0.727356,0.634558,0.601492,,61.2205
airlines,airlines,mljarsupervised,169s,0,binary,0.720229,auc,local,1.1.1,,2.1.7,2024-01-07T20:34:29,196.2,185.9,0.8,4,1888570913,,0.668325,0.720229,0.651474,0.607207,,66.8325
airlines,airlines,constantpredictor,169s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T20:34:35,1.5,0.01,0.0006,1,714320791,,0.555604,0.5,0.5,0.686955,,55.5604
airlines,airlines,RandomForest,169s,0,binary,0.661219,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T20:37:35,174.6,152.1,7.9,1790,36996359,,0.623749,0.661219,0.617167,0.826595,,62.3749
airlines,airlines,TPOT,169s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T20:43:28,347.6,,,,37572230,NoResultError: Interrupting thread MainThread [ident=140536237260800] after 338s timeout.,,,,,,0
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,81s,0,multiclass,-0.233589,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T20:44:59,87,84,0.3,9,180352050,,0.868809,,0.819612,0.233589,3,86.8809
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,H2OAutoML,81s,0,multiclass,-0.268582,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T20:46:37,93.5,82.2,0.3,16,995496056,,0.857578,,0.802025,0.268582,,85.7578
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,mljarsupervised,81s,0,multiclass,-0.243388,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T20:48:18,96.1,87.2,0.8,6,487017081,,0.865982,,0.815008,0.243388,,86.5982
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,constantpredictor,81s,0,multiclass,-0.937508,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T20:48:22,0.2,0.01,0.0001,1,834434868,,0.513313,,0.333333,0.937508,,51.3313
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,RandomForest,81s,0,multiclass,-0.41285,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T20:48:44,17.3,14.1,1,2000,603662185,,0.789603,,0.722706,0.41285,,78.9603
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,TPOT,81s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T20:51:37,168.8,,,,1634862384,NoResultError: Interrupting thread MainThread [ident=139866244567040] after 162s timeout.,,,,,,0
fabert,fabert,AutoGluon,147s,0,multiclass,-0.803059,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T20:54:19,156.4,151,0.4,9,1518367234,,0.697816,,0.666306,0.803059,7,69.7816
fabert,fabert,H2OAutoML,147s,0,multiclass,-0.850911,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T20:57:07,163.1,148.2,0.3,11,1174257977,,0.690129,,0.666242,0.850911,,69.0129
fabert,fabert,mljarsupervised,147s,0,multiclass,-0.902125,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T20:59:31,138.2,128.4,0.7,6,1656274585,,0.671926,,0.640152,0.902125,,67.1926
fabert,fabert,constantpredictor,147s,0,multiclass,-1.8724,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T20:59:36,0.6,0.0007,0.0001,1,1364590943,,0.23665,,0.142857,1.8724,,23.665
fabert,fabert,RandomForest,147s,0,multiclass,-0.845073,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T21:00:07,26,21.3,0.8,2000,93431150,,0.686893,,0.650427,0.845073,,68.6893
fabert,fabert,TPOT,147s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T21:05:14,301.8,,,,769230779,NoResultError: Interrupting thread MainThread [ident=140562143404032] after 294s timeout.,,,,,,0
MiniBooNE,MiniBooNE,AutoGluon,206s,0,binary,0.988118,auc,local,1.0.0,,2.1.7,2024-01-07T21:08:52,212.3,206.8,0.7,13,1184530748,,0.950077,0.988118,0.940674,0.12431,3,95.0077
MiniBooNE,MiniBooNE,H2OAutoML,206s,0,binary,0.986228,auc,local,3.44.0.3,,2.1.7,2024-01-07T21:12:41,223.1,208.1,0.5,17,1341895811,,0.945746,0.986228,0.938921,0.134341,,94.5746
MiniBooNE,MiniBooNE,mljarsupervised,206s,0,binary,0.985692,auc,local,1.1.1,,2.1.7,2024-01-07T21:15:38,172.6,163.1,0.2,6,1984697844,,0.945823,0.985692,0.933672,0.137083,,94.5823
MiniBooNE,MiniBooNE,constantpredictor,206s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T21:15:44,0.7,0.003,0.0002,1,1664927470,,0.719682,0.5,0.5,0.593254,,71.9682
MiniBooNE,MiniBooNE,RandomForest,206s,0,binary,0.981247,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T21:18:58,189,184.3,0.7,1250,1182705830,,0.936366,0.981247,0.919483,0.173643,,93.6366
MiniBooNE,MiniBooNE,TPOT,206s,0,binary,0.983629,auc,local,0.12.1,,2.1.7,2024-01-07T21:25:22,378.1,369.5,0.1,64,1973625164,,0.941261,0.983629,0.930112,0.147535,,94.1261
adult,adult,AutoGluon,100s,0,binary,,auc,local,1.0.0,,2.1.7,2024-01-07T21:27:11,104.1,,,,1570606273,TypeError: '<' not supported between instances of 'float' and 'str',,,,,,0
adult,adult,H2OAutoML,100s,0,binary,0.931968,auc,local,3.44.0.3,,2.1.7,2024-01-07T21:29:10,114.6,101.5,0.5,19,2038229727,,0.86815,0.931968,0.832755,0.268272,,86.815
adult,adult,mljarsupervised,100s,0,binary,0.930527,auc,local,1.1.1,,2.1.7,2024-01-07T21:30:32,78,69.6,0.1,6,20781035,,0.879956,0.930527,0.803238,0.269638,,87.9956
adult,adult,constantpredictor,100s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T21:30:37,0.2,0.01,0.0002,1,2103464682,,0.766601,0.5,0.5,0.543545,,76.6601
adult,adult,RandomForest,100s,0,binary,,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T21:31:03,22,,,,1777728798,TypeError: '<' not supported between instances of 'float' and 'str',,,,,,0
adult,adult,TPOT,100s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T21:34:11,182.7,,,,143747170,TypeError: '<' not supported between instances of 'float' and 'str',,,,,,0
jasmine,jasmine,AutoGluon,73s,0,binary,0.870593,auc,local,1.0.0,,2.1.7,2024-01-07T21:34:39,23.6,19.5,0.4,14,656490946,,0.799107,0.870593,0.798485,0.422769,8,79.9107
jasmine,jasmine,H2OAutoML,73s,0,binary,0.872172,auc,local,3.44.0.3,,2.1.7,2024-01-07T21:36:11,87.6,75.4,0.3,25,1498676824,,0.802455,0.872172,0.801858,0.412894,,80.2455
jasmine,jasmine,mljarsupervised,73s,0,binary,0.852945,auc,local,1.1.1,,2.1.7,2024-01-07T21:37:36,81.3,72.9,0.2,7,380241886,,0.771205,0.852945,0.770947,0.442028,,77.1205
jasmine,jasmine,constantpredictor,73s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T21:37:41,0.07,0.0004,0.00007,1,882023739,,0.497768,0.5,0.5,0.693158,,49.7768
jasmine,jasmine,RandomForest,73s,0,binary,0.879106,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T21:37:57,11.8,9.1,0.8,2000,1758223120,,0.803571,0.879106,0.80295,0.450563,,80.3571
jasmine,jasmine,TPOT,73s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T21:40:34,152.9,,,,351213328,NoResultError: Interrupting thread MainThread [ident=140561776111616] after 146s timeout.,,,,,,0
car,car,AutoGluon,77s,0,multiclass,-0.0907953,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T21:42:01,82.4,79.5,0.2,7,752541956,,0.974952,,0.954541,0.0907953,3,97.4952
car,car,H2OAutoML,77s,0,multiclass,-0.0733892,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T21:43:34,88.1,79.2,0.2,35,1521149259,,0.976879,,0.929024,0.0733892,,97.6879
car,car,mljarsupervised,77s,0,multiclass,-0.0855595,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T21:44:43,65.3,56.8,0.2,7,264180171,,0.974952,,0.933882,0.0855595,,97.4952
car,car,constantpredictor,77s,0,multiclass,-0.858738,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T21:44:48,0.03,0.0006,0.00008,1,605125630,,0.689788,,0.25,0.858738,,68.9788
car,car,RandomForest,77s,0,multiclass,-0.172299,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T21:45:03,10.8,8.2,0.7,2000,1814251572,,0.967245,,0.91711,0.172299,,96.7245
car,car,TPOT,77s,0,multiclass,-0.0626807,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T21:46:51,103.3,97.1,0.007,289,546762483,,0.982659,,0.950556,0.0626807,,98.2659
riccardo,riccardo,AutoGluon,1003s,0,binary,0.999754,auc,local,1.0.0,,2.1.7,2024-01-07T22:04:22,1034.3,1009.6,1.5,8,1998916988,,0.997,0.999754,0.998007,0.0818321,4,99.7
riccardo,riccardo,H2OAutoML,1003s,0,binary,0.999664,auc,local,3.44.0.3,,2.1.7,2024-01-07T22:22:06,1047.4,1010.8,0.5,12,2027821919,,0.996333,0.999664,0.99666,0.0131828,,99.6333
riccardo,riccardo,mljarsupervised,1003s,0,binary,,auc,local,1.1.1,,2.1.7,2024-01-07T22:56:17,2034.6,,,,1308007127,NoResultError: Interrupting thread MainThread [ident=140140716507136] after 2006s timeout.,,,,,,0
riccardo,riccardo,constantpredictor,1003s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T22:56:40,6.6,0.0008,0.0001,1,1598439133,,0.7525,0.5,0.5,0.559606,,75.25
riccardo,riccardo,RandomForest,1003s,0,binary,0.998847,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T23:02:15,318,290.1,0.9,2000,426851704,,0.958333,0.998847,0.916503,0.192145,,95.8333
riccardo,riccardo,TPOT,1003s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T23:13:48,677.2,,,,1407327741,NoResultError: A pipeline has not yet been optimized. Please call fit() first.,,,,,,0
dionis,dionis,AutoGluon,886s,0,multiclass,-0.346833,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T23:30:14,991.3,904.2,11.1,5,1678429157,,0.916408,,0.914297,0.346833,4,91.6408
dionis,dionis,H2OAutoML,886s,0,multiclass,,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-08T00:00:14,1777.8,,,,1519124286,NoResultError: Interrupting thread MainThread [ident=139801364217856] after 1772s timeout.,,,,,,0
dionis,dionis,mljarsupervised,886s,0,multiclass,-1.65728,neg_logloss,local,1.1.1,,2.1.7,2024-01-08T00:31:05,1862.7,1656.9,2.8,4,1680750437,,0.586759,,0.577829,1.65728,,58.6759
dionis,dionis,constantpredictor,886s,0,multiclass,-5.8864,neg_logloss,local,1.2.2,,2.1.7,2024-01-08T00:32:56,101.5,0.02,0.0005,1,938609385,,0.00608696,,0.0028169,5.8864,,0.608696
dionis,dionis,RandomForest,886s,0,multiclass,-0.646345,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T00:44:12,659,488.7,51.5,530,356158848,,0.911307,,0.90921,0.646345,,91.1307
dionis,dionis,TPOT,886s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-08T01:14:17,1783.9,,,,458038376,NoResultError: Interrupting thread MainThread [ident=140688473858048] after 1772s timeout.,,,,,,0
christine,christine,AutoGluon,263s,0,binary,0.810202,auc,local,1.0.0,,2.1.7,2024-01-08T01:18:53,269.8,262,0.7,11,1510061806,,0.728782,0.810202,0.728527,0.530839,7,72.8782
christine,christine,H2OAutoML,263s,0,binary,0.802068,auc,local,3.44.0.3,,2.1.7,2024-01-08T01:23:42,283,264.3,0.5,16,1498512326,,0.695572,0.802068,0.699169,0.540921,,69.5572
christine,christine,mljarsupervised,263s,0,binary,0.795079,auc,local,1.1.1,,2.1.7,2024-01-08T01:30:17,388.6,376,0.5,4,1566430723,,0.721402,0.795079,0.719944,0.549799,,72.1402
christine,christine,constantpredictor,263s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-08T01:30:25,1,0.0005,0.0001,1,1859780841,,0.48893,0.5,0.5,0.693402,,48.893
christine,christine,RandomForest,263s,0,binary,0.794689,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T01:31:17,46.3,39.2,0.8,2000,81906803,,0.715867,0.794689,0.715346,0.557394,,71.5867
christine,christine,TPOT,263s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-08T01:40:18,534.5,,,,1929448794,NoResultError: Interrupting thread MainThread [ident=140590102482944] after 526s timeout.,,,,,,0
dilbert,dilbert,AutoGluon,383s,0,multiclass,-0.0269497,neg_logloss,local,1.0.0,,2.1.7,2024-01-08T01:47:07,400.9,392.4,0.7,6,1308533606,,0.991,,0.991051,0.0269497,3,99.1
dilbert,dilbert,H2OAutoML,383s,0,multiclass,-0.0836316,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-08T01:54:05,410.1,389.6,0.3,8,57111829,,0.972333,,0.972463,0.0836316,,97.2333
dilbert,dilbert,mljarsupervised,383s,0,multiclass,-0.36614,neg_logloss,local,1.1.1,,2.1.7,2024-01-08T02:01:02,409.1,395.8,1.2,4,824349762,,0.922667,,0.923414,0.36614,,92.2667
dilbert,dilbert,constantpredictor,383s,0,multiclass,-1.60995,neg_logloss,local,1.2.2,,2.1.7,2024-01-08T02:01:12,1.9,0.0008,0.0001,1,226880848,,0.194333,,0.2,1.60995,,19.4333
dilbert,dilbert,RandomForest,383s,0,multiclass,-0.366443,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T02:03:12,112.5,102.7,0.8,2000,997496672,,0.972333,,0.972636,0.366443,,97.2333
dilbert,dilbert,TPOT,383s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-08T02:06:03,162.8,,,,2082493660,NoResultError: A pipeline has not yet been optimized. Please call fit() first.,,,,,,0
kc1,kc1,AutoGluon,82s,0,binary,0.823846,auc,local,1.0.0,,2.1.7,2024-01-08T02:06:47,34.7,23.8,0.3,14,610967819,,0.85624,0.823846,0.597805,0.337621,4,85.624
kc1,kc1,H2OAutoML,82s,0,binary,0.800572,auc,local,3.44.0.3,,2.1.7,2024-01-08T02:08:30,98.6,84.5,0.3,58,1735963964,,0.78673,0.800572,0.678386,0.355914,,78.673
kc1,kc1,mljarsupervised,82s,0,binary,0.804719,auc,local,1.1.1,,2.1.7,2024-01-08T02:09:50,76,57.3,0.09,7,1816424310,,0.789889,0.804719,0.692448,0.350199,,78.9889
kc1,kc1,constantpredictor,82s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-08T02:09:54,0.05,0.0004,0.00008,1,1854632817,,0.842022,0.5,0.5,0.436392,,84.2022
kc1,kc1,RandomForest,82s,0,binary,0.823518,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T02:10:14,15,8.6,0.8,2000,879565126,,0.85624,0.823518,0.634362,0.442658,,85.624
kc1,kc1,TPOT,82s,0,binary,0.808302,auc,local,0.12.1,,2.1.7,2024-01-08T02:12:04,105.3,96.7,0.01,471,869340230,,0.849921,0.808302,0.581867,0.350358,,84.9921
jannis,jannis,AutoGluon,132s,0,multiclass,-0.671211,neg_logloss,local,1.0.0,,2.1.7,2024-01-08T02:14:28,139.5,134.1,0.8,11,1566577230,,0.723408,,0.549032,0.671211,5,72.3408
jannis,jannis,H2OAutoML,132s,0,multiclass,-0.83549,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-08T02:17:02,148.8,134.1,0.3,11,1281644190,,0.700119,,0.512508,0.83549,,70.0119
jannis,jannis,mljarsupervised,132s,0,multiclass,-0.693267,neg_logloss,local,1.1.1,,2.1.7,2024-01-08T02:19:26,139.2,129.9,0.5,6,385318107,,0.71246,,0.528868,0.693267,,71.246
jannis,jannis,constantpredictor,132s,0,multiclass,-1.11111,neg_logloss,local,1.2.2,,2.1.7,2024-01-08T02:19:31,0.5,0.02,0.0002,1,1369656716,,0.456568,,0.25,1.11111,,45.6568
jannis,jannis,RandomForest,132s,0,multiclass,-0.734707,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T02:21:39,122.6,118.3,0.9,1370,857685791,,0.704419,,0.513845,0.734707,,70.4419
jannis,jannis,TPOT,132s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-08T02:26:15,271.7,,,,154010626,NoResultError: Interrupting thread MainThread [ident=140313992609792] after 264s timeout.,,,,,,0
blood-transfusion-service-center,blood-transfusion-service-center,AutoGluon,72s,0,binary,0.721566,auc,local,1.0.0,,2.1.7,2024-01-08T02:26:34,14.2,11.6,0.01,14,1626927288,,0.737778,0.721566,0.508333,0.525131,3,73.7778
blood-transfusion-service-center,blood-transfusion-service-center,H2OAutoML,72s,0,binary,0.752576,auc,local,3.44.0.3,,2.1.7,2024-01-08T02:28:00,81.8,73,0.3,62,1973891255,,0.76,0.752576,0.682576,0.506256,,76
blood-transfusion-service-center,blood-transfusion-service-center,mljarsupervised,72s,0,binary,0.753687,auc,local,1.1.1,,2.1.7,2024-01-08T02:29:03,58.8,50.7,0.03,7,993397126,,0.746667,0.753687,0.64697,0.505216,,74.6667
