dataset_name,config,llm_model,has_description,classifier,task_type,status,number_iteration,pipeline_gen_time,execution_time,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
Okcupid-Stem,CatDB,gpt-4,yes,automatic,multiclass,True,9,24.994829893112183,11.090888738632202,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Walking-Activity,CatDB,gpt-4,no,automatic,multiclass,True,1,16.323687314987183,18.40909481048584,0.6210251406267937,-1.0,1.1803307913567294,-1,-1,0.6013616071428571,-1.0,1.223813208368286,-1,-1
Walking-Activity,CatDB,gpt-4,yes,automatic,multiclass,True,3,16.121277332305908,16.158679008483887,0.6219913519305094,-1.0,13.624812689105497,-1,-1,0.60140625,-1.0,14.366774968068421,-1,-1
Aloi,CatDB,gpt-4,no,automatic,regression,True,3,56.17026376724243,1005.184003829956,-1.0,-1.0,-1.0,0.4655768103939264,211.4235131794497,-1.0,-1.0,-1.0,0.4062968620466759,221.46317465482068
Aloi,CatDB,gpt-4,yes,automatic,regression,True,3,55.362791538238525,7.43865966796875e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MD-MIX-Mini,CatDB,gpt-4,no,automatic,regression,True,3,51.671828269958496,7.748603820800781e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MD-MIX-Mini,CatDB,gpt-4,yes,automatic,regression,True,3,43.79850935935974,5.221366882324219e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Dionis,CatDB,gpt-4,no,automatic,regression,True,3,34.349379777908325,169.752099275589,-1.0,-1.0,-1.0,0.3920392706250198,80.14357658115689,-1.0,-1.0,-1.0,0.3032667230906718,85.93069030075742
Dionis,CatDB,gpt-4,yes,automatic,regression,True,2,31.75011301040649,7.295608520507812e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Meta-Album-BRD,CatDB,gpt-4,no,automatic,regression,True,3,30.810095071792603,7.295608520507812e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Meta-Album-BRD,CatDB,gpt-4,yes,automatic,regression,True,1,30.261106252670288,34.476253271102905,-1.0,-1.0,-1.0,-0.0376618158011423,93.26938545158134,-1.0,-1.0,-1.0,-0.9678178206398612,128.11195055911722
Balance-Scale,CatDB,gpt-4,no,automatic,multiclass,True,1,30.47068428993225,0.6754705905914307,1.0,-1.0,0.100201457846541,-1.0,-1.0,0.8407643312101911,-1.0,0.6286862165820892,-1.0,-1.0
Balance-Scale,CatDB,gpt-4,yes,automatic,multiclass,True,1,21.74490785598755,0.6047701835632324,1.0,-1.0,0.1004007326904114,-1.0,-1.0,0.8471337579617835,-1.0,0.4354346905887414,-1.0,-1.0
Breast-w,CatDB,gpt-4,no,automatic,binary,True,1,33.28477334976196,0.6502854824066162,1.0,1.0,-1.0,-1.0,-1.0,0.9714285714285714,0.9618320610687024,-1.0,-1.0,-1.0
Breast-w,CatDB,gpt-4,yes,automatic,binary,True,1,31.52504277229309,0.5972456932067871,1.0,1.0,-1.0,-1.0,-1.0,0.9714285714285714,0.9612403100775194,-1.0,-1.0,-1.0
CMC,CatDB,gpt-4,no,automatic,multiclass,True,1,29.94637250900269,0.9066035747528076,0.9592391304347826,-1.0,0.2691954820473175,-1.0,-1.0,0.4905149051490515,-1.0,1.2117168661840974,-1.0,-1.0
CMC,CatDB,gpt-4,yes,automatic,multiclass,True,1,29.284124851226807,0.9251382350921632,0.9592391304347826,-1.0,0.2705130707587061,-1.0,-1.0,0.4932249322493225,-1.0,1.3628258272371148,-1.0,-1.0
Credit-g,CatDB,gpt-4,No,automatic,binary,True,1,0,0.8250453472137451,1.0,1.0,-1,-1,-1,0.78,0.5299145299145299,-1,-1,-1
Credit-g,CatDB,gpt-4,yes,automatic,binary,True,1,37.32376742362976,0.7673695087432861,1.0,1.0,-1.0,-1.0,-1.0,0.776,0.5333333333333333,-1.0,-1.0,-1.0
Diabetes,CatDB,gpt-4,no,automatic,binary,True,1,29.971845149993896,0.7175073623657227,1.0,1.0,-1.0,-1.0,-1.0,0.7916666666666666,0.6875,-1.0,-1.0,-1.0
Diabetes,CatDB,gpt-4,yes,automatic,binary,True,1,27.633748292922974,0.6856589317321777,1.0,1.0,-1.0,-1.0,-1.0,0.7708333333333334,0.6451612903225806,-1.0,-1.0,-1.0
Tic-Tac-Toe,CatDB,gpt-4,no,automatic,binary,True,1,33.188236474990845,0.6518182754516602,1.0,1.0,-1.0,-1.0,-1.0,0.9583333333333334,0.9681528662420382,-1.0,-1.0,-1.0
Tic-Tac-Toe,CatDB,gpt-4,yes,automatic,binary,True,1,0,0.7696266174316406,1.0,1.0,-1,-1,-1,0.9916666666666667,0.9934640522875817,-1,-1,-1
Eucalyptus,CatDB,gpt-4,no,automatic,multiclass,True,3,34.887043952941895,7.414817810058594e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Eucalyptus,CatDB,gpt-4,yes,automatic,multiclass,True,3,46.00610566139221,6.890296936035156e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
PC1,CatDB,gpt-4,no,automatic,binary,True,1,30.73901391029358,0.7576391696929932,0.9951865222623344,0.9649122807017544,-1.0,-1.0,-1.0,0.9388489208633094,0.3703703703703703,-1.0,-1.0,-1.0
PC1,CatDB,gpt-4,yes,automatic,binary,True,1,0,0.8784780502319336,0.9951865222623345,0.9649122807017544,-1,-1,-1,0.9316546762589928,0.24,-1,-1,-1
Airlines,CatDB,gpt-4,no,automatic,binary,True,1,27.31571793556213,1.0235724449157717,1.0,1.0,-1.0,-1.0,-1.0,0.616,0.4838709677419355,-1.0,-1.0,-1.0
Airlines,CatDB,gpt-4,yes,automatic,binary,True,1,28.33313369750977,0.8531765937805176,1.0,1.0,-1.0,-1.0,-1.0,0.632,0.5027027027027027,-1.0,-1.0,-1.0
Jungle-Chess,CatDB,gpt-4,no,automatic,multiclass,True,3,32.28642511367798,5.269050598144531e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jungle-Chess,CatDB,gpt-4,yes,automatic,multiclass,True,3,25.666517972946167,6.532669067382812e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
